;Philosophers problem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5 Philosophers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Running by 2s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Using Semaphore;;;;;;;;;;;;;Using Synchronized;;;;;;;;;;;;;Using Lock and Condition;;;;;;;;;;;;;;;;;;;
; Average executions;;;;;;Standard deviation;;;;;;;Average executions;;;;;;Standard deviation;;;;;;;Average executions;;;;;;Standard deviation;;;;;;;;;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;;;;Thread;ThreadPool;HaMeR;Coroutines;
;;806;734.4;731.4;1127.8;;;38.7;13.2;10.2;20.4;;;;1182.8;1025.8;1011.4;8497.4;;;20.1;17.7;18.6;3740.3;;;;789.8;672.4;671.6;808;;;24.8;20.8;21.7;23.8;;;Semáforos;0.017063543;0.030693889;0.02328786;0.023083459;
;;812;658;686;1043;;;845;740;736;1081;;;;1205;967;958;1152;;;1262;1034;994;10637;;;;770;659;658;689;;;838;689;686;744;;;;;;;;
;;769;678;694;926;;;798;749;768;985;;;;1151;1005;954;1064;;;1186;1046;972;11063;;;;759;639;612;704;;;801;686;664;724;;;;;;;;
;;787;699;650;895;;;826;747;746;968;;;;1098;1007;923;1051;;;1209;1065;976;10680;;;;752;624;637;697;;;787;699;664;745;;;;;;;;
;Median;737.5;690;698.5;1027.5;;Median;819;750.5;745;1091;;;Median;1145;978;941;1108.5;;Median;1207;1032;989;10658.5;;;Median;759;649;639;720;;Median;813;697.5;685.5;776;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
